index,Show_ID,Date_Added,Country,Director,Duration,Listed_In,Rating,Release_Year,Title,Type,Budget,Sales,Profit,Continent,Profitable?
4828,1721,2020-11-26,Philippines,Cathy Garcia-Molina,121 min,"Comedies, International Movies, Romantic Movies",TV-14,2017,Unexpectedly Yours,Movie,2789652,3792771,1003119,Asia,Yes
4318,1722,2020-11-25,United Kingdom,Eric Bress,95 min,Horror Movies,R,2020,Ghosts of War,Movie,3022696,4197256,1174560,Europe,Yes
5739,1723,2021-09-01,United States,Kinka Usher,121 min,"Action & Adventure, Comedies",PG-13,1999,Mystery Men,Movie,2393027,5688364,3295337,North America,Yes
1972,1724,2020-11-25,Japan,Not Given,2 Seasons,"Anime Series, Crime TV Shows, International TV Shows",TV-MA,2020,Great Pretender,TV Show,4080495,1514914,-2565581,Asia,No
3078,1725,2020-11-25,United Kingdom,Paul Dugdale,87 min,Music & Musicals,TV-PG,2020,Shawn Mendes: Live in Concert,Movie,3577936,2467947,-1109989,Europe,No
609,1726,2020-11-25,Canada,Chris Columbus,115 min,"Children & Family Movies, Comedies",PG,2020,The Christmas Chronicles: Part Two,Movie,4904365,4726377,-177988,North America,No
6910,1727,2020-11-24,India,V Vignarajan,171 min,"Horror Movies, International Movies, Thrillers",TV-14,2020,Andhaghaaram,Movie,1839531,3601965,1762434,Asia,Yes
661,1728,2020-11-24,India,V Vignarajan,171 min,"Horror Movies, International Movies, Thrillers",TV-14,2020,Andhakaaram,Movie,4873886,3600518,-1273368,Asia,No
1625,1729,2020-11-24,Nigeria,BB Sasore,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",TV-MA,2015,Before 30,TV Show,4262452,1958501,-2303951,Africa,No
4809,1730,2020-11-24,United States,"Greg Rankin, TJ Sullivan",46 min,"Children & Family Movies, Comedies",TV-Y,2020,Dragons: Rescue Riders: Huttsgalor Holiday,Movie,2797762,2412225,-385537,North America,No
4422,1731,2020-11-24,United States,Ron Howard,117 min,Dramas,R,2020,Hillbilly Elegy,Movie,2977106,4188494,1211388,North America,Yes
1746,1732,2020-11-24,Argentina,Carlos Sorín,84 min,"Dramas, International Movies",TV-MA,2020,Notes for My Son,Movie,4191822,2791740,-1400082,South America,No
485,1733,2020-11-24,Egypt,Not Given,1 Season,"International TV Shows, TV Comedies, TV Dramas",TV-14,2020,Valentino,TV Show,5020640,2133196,-2887444,Africa,No
4326,1734,2021-09-01,Pakistan,Not Given,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",TV-MA,2019,Oldsters,TV Show,3020988,6025007,3004019,Asia,Yes
1099,1735,2020-11-23,United States,Matt Eskandari,98 min,Action & Adventure,R,2020,Hard Kill,Movie,4565136,4175295,-389841,North America,No
2118,1736,2020-11-23,United States,Grant Singer,83 min,"Documentaries, Music & Musicals",TV-MA,2020,Shawn Mendes: In Wonder,Movie,4010466,2704658,-1305808,North America,No
6604,1737,2020-11-23,South Korea,Not Given,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas",TV-MA,2017,Strongest Deliveryman,TV Show,1975654,1886322,-89332,Asia,No
1249,1738,2020-11-23,Egypt,Mohammad Adel,97 min,"Action & Adventure, Comedies, International Movies",TV-14,2018,The Suit,Movie,4469495,3756815,-712680,Africa,No
1935,1739,2020-11-22,United States,Debbie Allen,99 min,"Children & Family Movies, Music & Musicals",TV-PG,2020,Dolly Parton’s Christmas on the Square,Movie,4097200,2462834,-1634366,North America,No
6555,1740,2020-11-22,United States,Robert Rodriguez,108 min,Action & Adventure,R,2013,Machete Kills,Movie,1998497,4357597,2359100,North America,Yes
3352,1741,2020-11-20,Kenya,Victor Gatonye,93 min,"International Movies, Thrillers",TV-14,2019,40 Sticks,Movie,3453602,3656208,202606,Africa,Yes
7545,1742,2020-11-20,United States,Stephen Chiodo,42 min,Children & Family Movies,TV-Y,2020,Alien Xmas,Movie,1481812,2413273,931461,North America,Yes
404,1743,2020-11-20,China,Not Given,3 Seasons,"Docuseries, International TV Shows",TV-G,2020,Flavorful Origins,TV Show,5111414,2037609,-3073805,Asia,No
127,1744,2020-11-20,Pakistan,Not Given,1 Season,"International TV Shows, TV Dramas",TV-14,2019,Heart & Soul,TV Show,5492699,5678307,185608,Asia,Yes
3642,1745,2021-09-01,Italy,Sergio Leone,229 min,"Classic Movies, Dramas",R,1984,Once Upon a Time in America,Movie,3325424,5686134,2360710,Europe,Yes
5784,1746,2020-11-20,United States,"Will McCormack, Michael Govier",13 min,Dramas,PG,2020,If Anything Happens I Love You,Movie,2366123,4720998,2354875,North America,Yes
1530,1747,2020-11-20,India,Not Given,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",TV-MA,2020,Mismatched,TV Show,4310684,1529307,-2781377,Asia,No
1705,1748,2020-11-20,United States,Monica Floyd,64 min,"Children & Family Movies, Comedies",TV-PG,2020,The App That Stole Christmas,Movie,4216162,2465146,-1751016,North America,No
6692,1749,2020-11-20,United States,Not Given,1 Season,"Docuseries, Reality TV",TV-PG,2020,Voices of Fire,TV Show,1940770,1099991,-840779,North America,No
5805,1750,2020-11-19,India,Anurag Kashyap,162 min,"Dramas, International Movies",TV-MA,2004,Black Friday,Movie,2358891,3493687,1134796,Asia,Yes
4166,1751,2020-11-19,India,Siddique,130 min,"Action & Adventure, Comedies, International Movies",TV-14,2011,Bodyguard,Movie,3097765,4034869,937104,Asia,Yes
456,1752,2020-11-19,India,Danish Aslam,108 min,"Comedies, International Movies, Music & Musicals",TV-14,2010,Break Ke Baad,Movie,5046572,4050810,-995762,Asia,No
4838,1753,2020-11-19,India,Vibhu Virender Puri,129 min,"Dramas, International Movies, Romantic Movies",TV-14,2015,Hawaizaada,Movie,2784169,3935233,1151064,Asia,Yes
1116,1754,2020-11-19,Philippines,Cathy Garcia-Molina,105 min,"International Movies, Romantic Movies",TV-14,2010,My Amnesia Girl,Movie,4554675,4041159,-513516,Asia,No
3015,1755,2020-11-19,India,Anurag Kashyap,133 min,"International Movies, Thrillers",TV-MA,2016,Raman Raghav 2.0,Movie,3605294,3295884,-309410,Asia,No
3481,1756,2021-09-01,United States,"Matthew O'Callaghan, Todd Wilderman",76 min,"Children & Family Movies, Comedies",PG,2008,Open Season 2,Movie,3401575,5685853,2284278,North America,Yes
5612,1757,2020-11-19,India,Rohit Shetty,142 min,"Action & Adventure, Dramas, International Movies",TV-14,2011,Singham,Movie,2444567,4033747,1589180,Asia,Yes
215,1758,2020-11-19,India,Ribhu Dasgupta,128 min,"Dramas, International Movies, Thrillers",TV-14,2016,TE3N,Movie,5348607,3884776,-1463831,Asia,No
7862,1759,2020-11-19,United States,Mike Rohl,97 min,"Children & Family Movies, Comedies, Dramas",TV-G,2020,The Princess Switch: Switched Again,Movie,1285983,3525217,2239234,North America,Yes
5317,1760,2020-11-19,Philippines,Cathy Garcia-Molina,107 min,"Comedies, Dramas, International Movies",TV-G,2018,Three Words to Forever,Movie,2575555,3540972,965417,Asia,Yes
1207,1761,2020-11-19,India,Shyam Benegal,135 min,"Comedies, International Movies",TV-14,2009,Well Done Abba,Movie,4498919,4059424,-439495,Asia,No
5894,1762,2020-11-18,United States,Not Given,1 Season,Reality TV,TV-G,2020,Holiday Home Makeover with Mr. Christmas,TV Show,2316325,2029541,-286784,North America,No
3823,1763,2020-11-17,United States,Takeshi Fukunaga,84 min,"Dramas, International Movies",TV-PG,2020,Ainu Mosir,Movie,3251154,2464861,-786293,North America,No
7025,1764,2020-11-17,United States,Leslie Small,70 min,Stand-Up Comedy,TV-MA,2020,Kevin Hart: Zero F**ks Given,Movie,1775871,2706166,930295,North America,Yes
1663,1765,2020-11-17,United States,Not Given,4 Seasons,"Kids' TV, TV Comedies",TV-Y7,2020,The Boss Baby: Back in Business,TV Show,4239185,473909,-3765276,North America,No
122,1766,2020-11-17,United States,Not Given,1 Season,"Docuseries, Reality TV",TV-MA,2020,We Are the Champions,TV Show,5500596,1448449,-4052147,North America,No
4335,1767,2021-09-01,United States,"Bobby Farrelly, Peter Farrelly",95 min,"Action & Adventure, Children & Family Movies, Comedies",PG,2001,Osmosis Jones,Movie,3016133,5683767,2667634,North America,Yes
2514,1768,2020-11-16,United Kingdom,Jeff Nichols,124 min,"Dramas, Romantic Movies",PG-13,2016,Loving,Movie,3833442,4553091,719649,Europe,Yes
4776,1769,2020-11-16,United States,"Sabaah Folayan, Damon Davis",102 min,Documentaries,R,2017,Whose Streets?,Movie,2813220,4248529,1435309,North America,Yes
7510,1770,2020-11-15,United States,Justin G. Dyck,84 min,"Music & Musicals, Romantic Movies",TV-G,2017,A Very Country Christmas,Movie,1503170,3546093,2042923,North America,Yes
7197,1771,2020-11-15,United States,Not Given,2 Seasons,Reality TV,TV-14,2013,America's Next Top Model,TV Show,1677567,2302533,624966,North America,Yes
278,1772,2020-11-15,Japan,Not Given,1 Season,"Anime Series, Kids' TV",TV-Y,2019,Beyblade Burst Rise,TV Show,5263599,941361,-4322238,Asia,No
2886,1773,2020-11-15,United States,"Cody Cameron, Kris Pearn",95 min,"Children & Family Movies, Comedies",PG,2013,Cloudy with a Chance of Meatballs 2,Movie,3667741,4783422,1115681,North America,Yes
2862,1774,2020-11-15,Canada,Justin G. Dyck,84 min,Romantic Movies,TV-G,2018,Hometown Holiday,Movie,3674875,3543490,-131385,North America,No
8457,1775,2020-11-15,Canada,Not Given,2 Seasons,Kids' TV,TV-Y,2021,Polly Pocket,TV Show,750503,895935,145432,North America,Yes
2688,1776,2020-11-15,United States,Not Given,2 Seasons,Reality TV,TV-14,2014,Survivor,TV Show,3752684,2287382,-1465302,North America,No
265,1777,2020-11-15,United Kingdom,Not Given,4 Seasons,"British TV Shows, International TV Shows, TV Dramas",TV-MA,2020,The Crown,TV Show,5275812,1461488,-3814324,Europe,No
100,1778,2021-09-22,Not Given,"Pedro de Echave García, Pablo Azorín Williams",67 min,"Documentaries, International Movies",TV-MA,2020,Europe's Most Dangerous Man: Otto Skorzeny in Spain,Movie,5538337,6080631,542294,Unknown,Yes
1943,1779,2021-09-01,United States,Wolfgang Petersen,98 min,"Action & Adventure, Dramas",PG-13,2006,Poseidon,Movie,4092845,5683670,1590825,North America,Yes
8468,1780,2020-11-15,United States,Michael Curtiz,120 min,"Children & Family Movies, Classic Movies, Comedies",TV-G,1954,White Christmas,Movie,742594,3570450,2827856,North America,Yes
4841,1781,2020-11-14,United States,Damián Romay,87 min,Thrillers,TV-14,2019,Killer Cove,Movie,2783022,3631358,848336,North America,Yes
7771,1782,2020-11-13,United States,Not Given,9 Seasons,"TV Horror, TV Mysteries, TV Thrillers",TV-MA,2019,American Horror Story,TV Show,1340155,1592430,252275,North America,Yes
6429,1783,2020-11-13,India,Avinash Walzade,75 min,"Children & Family Movies, Comedies",TV-Y7,2020,Fukrey Boyzzz: Space Mein Fukrapanti,Movie,2048894,2371002,322108,Asia,Yes
6808,1784,2020-11-13,United States,David E. Talbert,124 min,"Children & Family Movies, Music & Musicals",PG,2020,Jingle Jangle: A Christmas Journey,Movie,1887730,4721579,2833849,North America,Yes
7660,1785,2020-11-13,Brazil,Renata Terra,92 min,"Documentaries, International Movies",TV-PG,2020,The Beginning of Life 2: Outside,Movie,1409038,2473420,1064382,South America,Yes
2088,1786,2020-11-13,Italy,Edoardo Ponti,95 min,"Dramas, International Movies",PG-13,2020,The Life Ahead,Movie,4024147,4504508,480361,Europe,Yes
5368,1787,2020-11-13,Spain,Mateo Gil,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",TV-MA,2020,The Minions of Midas,TV Show,2546420,1483915,-1062505,Europe,No
1475,1788,2020-11-12,Philippines,Cathy Garcia-Molina,107 min,"International Movies, Romantic Movies",TV-G,2008,A Very Special Love,Movie,4341184,3569917,-771267,Asia,No
5063,1789,2020-11-12,Turkey,Not Given,1 Season,"International TV Shows, TV Dramas",TV-MA,2020,Ethos,TV Show,2688874,1474810,-1214064,Asia,No
7637,1790,2021-09-01,United States,Peter Spirer,89 min,"Documentaries, Music & Musicals",R,1997,Rhyme & Reason,Movie,1424043,5668361,4244318,North America,Yes
285,1791,2020-11-12,Philippines,Paul Soriano,123 min,"Dramas, International Movies, Romantic Movies",TV-MA,2018,First Love,Movie,5253695,2997298,-2256397,Asia,No
2587,1792,2020-11-12,United States,Ryan Coogler,85 min,"Dramas, Independent Movies",R,2013,Fruitvale Station,Movie,3807222,4349491,542269,North America,Yes
6519,1793,2020-11-12,South Korea,Not Given,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",TV-MA,2020,Graceful Friends,TV Show,2010463,1494220,-516243,Asia,No
5515,1794,2020-11-12,India,Anurag Basu,150 min,"Comedies, Dramas, International Movies",TV-MA,2020,Ludo,Movie,2486691,2766537,279846,Asia,Yes
1369,1795,2020-11-12,Argentina,Lucas Santa Ana,97 min,"Dramas, International Movies, LGBTQ Movies",TV-MA,2019,Memories of a Teenager,Movie,4406755,2904913,-1501842,South America,No
1025,1796,2020-11-12,United States,Nelson McCormick,88 min,Horror Movies,PG-13,2008,Prom Night,Movie,4617229,4636900,19671,North America,Yes
7325,1797,2020-11-11,Brazil,Carla Barros,1 Season,"International TV Shows, Reality TV",TV-14,2020,A Queen Is Born,TV Show,1606248,2138676,532428,South America,Yes
5110,1798,2020-11-11,Australia,Not Given,1 Season,TV Comedies,TV-MA,2020,Aunty Donna's Big Ol' House of Fun,TV Show,2667520,1585651,-1081869,Oceania,No
6334,1799,2020-11-11,United States,Not Given,1 Season,"TV Action & Adventure, TV Dramas",TV-MA,2020,The Liberator,TV Show,2102381,1435665,-666716,North America,No
1267,1800,2020-11-11,United States,Not Given,1 Season,"Crime TV Shows, Docuseries",TV-MA,2020,Trial 4,TV Show,4460078,1453134,-3006944,North America,No
6229,1801,2021-09-01,United States,Michael Carney,120 min,"Dramas, Faith & Spirituality",PG-13,2017,Same Kind of Different as Me,Movie,2150960,5667594,3516634,North America,Yes
855,1802,2020-11-11,Lebanon,Not Given,74 min,"Documentaries, International Movies",TV-14,1979,We Are All For The Fatherland,Movie,4724256,4157874,-566382,Asia,No
5859,1803,2020-11-11,Austria,Ulrike Kofler,93 min,"Dramas, International Movies",TV-MA,2020,What We Wanted,Movie,2331197,2791289,460092,Europe,Yes
6749,1804,2020-11-10,United States,"Steven Bognar, Julia Reichert",1 Season,TV Shows,TV-14,2006,A Lion in the House,TV Show,1916785,2349152,432367,North America,Yes
8400,1805,2020-11-10,United States,Not Given,1 Season,"Romantic TV Shows, TV Comedies, TV Dramas",TV-14,2020,DASH & LILY,TV Show,808818,2111663,1302845,North America,Yes
4207,1806,2020-11-06,Pakistan,Not Given,1 Season,"Anime Series, Kids' TV",TV-Y7,2020,Bakugan: Armored Alliance,TV Show,3079047,519585,-2559462,Asia,No
4126,1807,2020-11-06,Japan,Not Given,1 Season,"Anime Series, Kids' TV",TV-PG,2018,Bakugan: Battle Planet,TV Show,3113605,1158339,-1955266,Asia,No
8184,1808,2020-11-06,Nigeria,Kunle Afolayan,151 min,"Dramas, International Movies",TV-MA,2020,Citation,Movie,1020041,2747361,1727320,Africa,Yes
8599,1809,2020-11-06,United States,Not Given,1 Season,Reality TV,TV-PG,2020,Country Ever After,TV Show,567971,1087631,519660,North America,Yes
6576,1810,2020-11-06,Taiwan,Weica Wang,82 min,"Dramas, International Movies",TV-MA,2020,Girl's Revenge,Movie,1988938,2728653,739715,Asia,Yes
8736,1811,2020-11-06,Spain,"Aitor Arregi, Jon Garaño, Jose Mari Goenaga",148 min,"Dramas, Independent Movies, International Movies",TV-MA,2019,The Endless Trench,Movie,302839,2855020,2552181,Europe,Yes
3930,1812,2021-09-01,United States,Richard Linklater,110 min,"Comedies, Music & Musicals",PG-13,2003,School of Rock,Movie,3202362,5666318,2463956,North America,Yes
3186,1813,2020-11-06,United States,Kevin Pollak,95 min,Comedies,R,2016,The Late Bloomer,Movie,3532177,4270764,738587,North America,Yes
4791,1814,2020-11-06,Australia,Not Given,1 Season,"International TV Shows, TV Comedies, TV Dramas",TV-MA,2018,Wrong Kind of Black,TV Show,2806872,1845454,-961418,Oceania,No
7365,1815,2020-11-05,United States,Otoja Abit,90 min,"Dramas, LGBTQ Movies, Romantic Movies",TV-MA,2020,A New York Christmas Wedding,Movie,1583136,2699847,1116711,North America,Yes
1301,1816,2020-11-05,Philippines,Antoinette Jadaone,103 min,"Dramas, International Movies, Romantic Movies",TV-14,2019,Alone/Together,Movie,4439565,3648169,-791396,Asia,No
5192,1817,2020-11-05,Argentina,Alejandro Hartmann,1 Season,"Crime TV Shows, Docuseries, International TV Shows",TV-14,2020,Carmel: Who Killed Maria Marta?,TV Show,2631418,2140464,-490954,South America,No
7505,1818,2020-11-05,Canada,Maxwell McGuire,87 min,"Comedies, Romantic Movies",TV-G,2020,Midnight at the Magnolia,Movie,1505176,3532741,2027565,North America,Yes
7869,1819,2020-11-05,Philippines,Ruel S. Bayani,102 min,"Dramas, International Movies, Romantic Movies",TV-14,2012,One More Try,Movie,1283663,4003974,2720311,Asia,Yes
5563,1820,2020-11-05,United States,Martin Wood,96 min,"Children & Family Movies, Comedies, Romantic Movies",TV-G,2020,Operation Christmas Drop,Movie,2464386,3525742,1061356,North America,Yes
5406,1821,2020-11-05,Egypt,Not Given,1 Season,"International TV Shows, TV Dramas, TV Horror",TV-14,2020,Paranormal,TV Show,2529696,2133108,-396588,Africa,No
7135,1822,2020-11-04,Canada,Not Given,87 min,"Dramas, Romantic Movies",TV-G,2018,A Christmas Catch,Movie,1708589,3542986,1834397,North America,Yes
6743,1823,2021-09-01,United States,Amy Rice,83 min,"Documentaries, LGBTQ Movies",PG-13,2015,Snervous Tyler Oakley,Movie,1920418,5665327,3744909,North America,Yes
5568,1824,2020-11-04,Canada,Justin G. Dyck,86 min,"Comedies, Dramas, Romantic Movies",TV-PG,2018,Christmas with a Prince,Movie,2462681,2528962,66281,North America,Yes
5711,1825,2020-11-04,Sweden,Not Given,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",TV-MA,2020,Love & Anarchy,TV Show,2403276,1480214,-923062,Europe,No
1792,1826,2020-11-04,India,Narendra Nath,136 min,"Dramas, International Movies",TV-PG,2020,Miss India,Movie,4171594,2472926,-1698668,Asia,No
2808,1827,2020-11-03,Germany,Jan-Peter Horns,60 min,Stand-Up Comedy,TV-MA,2020,Felix Lobrecht: Hype,Movie,3700518,2780402,-920116,Europe,No
6504,1828,2020-11-03,Japan,Tatsushi Omori,127 min,"Dramas, International Movies",TV-14,2020,MOTHER,Movie,2015458,3595684,1580226,Asia,Yes
7701,1829,2020-11-03,Brazil,Estela Renner,96 min,"Documentaries, International Movies",TV-PG,2016,The Beginning of Life,Movie,1381061,2589649,1208588,South America,Yes
6,1830,2020-11-03,Pakistan,Not Given,15 min,Documentaries,TV-PG,2020,Ya no estoy aquí: Una conversación entre Guillermo del Toro y Alfonso Cuarón,Movie,5850732,5677600,-173132,Asia,No
6503,1831,2020-11-02,Canada,Not Given,2 Seasons,"International TV Shows, TV Comedies, TV Dramas",TV-MA,2020,Can You Hear Me?,TV Show,2015545,1571068,-444477,North America,No
94,1832,2020-11-02,Canada,"Zeek Earl, Christopher Caldwell",100 min,"Sci-Fi & Fantasy, Thrillers",R,2018,Prospect,Movie,5555838,4231922,-1323916,North America,No
2638,1833,2020-11-01,United States,Not Given,1 Season,Reality TV,TV-MA,2019,60 Days In,TV Show,3781460,1636316,-2145144,North America,No
1771,1834,2021-09-01,United States,Antoine Fuqua,121 min,"Action & Adventure, Dramas",R,2003,Tears of the Sun,Movie,4183387,5665230,1481843,North America,Yes
3079,1835,2020-11-01,United States,Michael Kampa,87 min,"Children & Family Movies, Comedies",TV-PG,2019,Christmas Break-In,Movie,3577892,2479546,-1098346,North America,No
346,1836,2020-11-01,United States,Not Given,6 Seasons,"Romantic TV Shows, TV Dramas, Teen TV Shows",TV-14,2002,Dawson's Creek,TV Show,5184390,2355595,-2828795,North America,No
1949,1837,2020-11-01,United States,Chanda Bell,28 min,Children & Family Movies,TV-Y,2020,Elf Pets: A Fox Cub’s Christmas Tale,Movie,4091563,2414627,-1676936,North America,No
2550,1838,2020-11-01,United States,Chanda Bell,27 min,Children & Family Movies,TV-Y,2020,Elf Pets: Santa’s Reindeer Rescue,Movie,3817810,2414770,-1403040,North America,No
2029,1839,2020-11-01,Canada,Jennifer Westcott,90 min,Children & Family Movies,PG,2018,Elliot the Littlest Reindeer,Movie,4051950,4752679,700729,North America,Yes
5315,1840,2020-11-01,United States,Not Given,1 Season,Reality TV,TV-14,2019,Forged in Fire,TV Show,2576802,2152428,-424374,North America,No
5701,1841,2020-11-01,United States,Not Given,3 Seasons,Docuseries,TV-14,2018,Leah Remini: Scientology and the Aftermath,TV Show,2408635,2179064,-229571,North America,No
2863,1842,2020-11-01,United States,Not Given,1 Season,Kids' TV,TV-Y,2019,LEGO Jurassic World: Legend of Isla Nublar,TV Show,3674512,932592,-2741920,North America,No
5854,1843,2020-11-01,United States,Not Given,1 Season,Kids' TV,TV-Y,2018,LEGO Jurassic World: Secret Exhibit,TV Show,2333077,954922,-1378155,North America,No
3151,1844,2020-11-01,Canada,Not Given,2 Seasons,Kids' TV,TV-Y7,2020,LEGO Ninjago,TV Show,3544808,543469,-3001339,North America,No
4552,1845,2021-09-01,United States,Randal Kleiser,105 min,"Dramas, Romantic Movies",R,1980,The Blue Lagoon,Movie,2918267,5663836,2745569,North America,Yes
7735,1846,2020-11-01,Denmark,Not Given,10 Seasons,Kids' TV,TV-Y7,2019,LEGO Ninjago: Masters of Spinjitzu,TV Show,1355626,602865,-752761,Europe,No
4094,1847,2020-11-01,United States,Not Given,1 Season,"Kids' TV, TV Comedies",TV-Y,2019,LEGO: CITY Adventures,TV Show,3130974,931928,-2199046,North America,No
7738,1848,2020-11-01,United States,Richard Greenberg,102 min,"Children & Family Movies, Comedies",PG,1989,Little Monsters,Movie,1354335,4858376,3504041,North America,Yes
5765,1849,2020-11-01,United States,Peter Berg,94 min,Action & Adventure,R,2018,Mile 22,Movie,2378195,4215788,1837593,North America,Yes
3182,1850,2020-11-01,United States,Nicolas Pesce,81 min,"Dramas, Independent Movies, Thrillers",R,2018,Piercing,Movie,3534180,4218221,684041,North America,Yes
7850,1851,2020-11-01,United Kingdom,Oliver Stone,134 min,"Dramas, Thrillers",R,2016,Snowden,Movie,1292501,4292031,2999530,Europe,Yes
6147,1852,2020-11-01,France,Not Given,4 Seasons,"Kids' TV, TV Comedies",TV-Y,2018,The Garfield Show,TV Show,2187838,961874,-1225964,Europe,No
7779,1853,2020-11-01,South Korea,Not Given,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",TV-MA,2020,The Good Detective,TV Show,1336518,1494535,158017,Asia,Yes
2952,1854,2020-11-01,Spain,J.A. Bayona,114 min,Dramas,PG-13,2012,The Impossible,Movie,3633847,4602186,968339,Europe,Yes
7816,1855,2020-11-01,United States,Christopher Cain,107 min,"Action & Adventure, Dramas, Sports Movies",PG,1994,The Next Karate Kid,Movie,1317547,4855400,3537853,North America,Yes
4536,1856,2021-09-01,United States,Michael Ritchie,94 min,"Action & Adventure, Comedies",PG-13,1986,The Golden Child,Movie,2924487,5663471,2738984,North America,Yes
691,1857,2020-11-01,South Korea,Not Given,2 Seasons,"Crime TV Shows, International TV Shows, Korean TV Shows",TV-14,2018,Voice,TV Show,4851037,2189774,-2661263,Asia,No
5792,1858,2020-11-01,United States,Shaun Paul Piccinino,107 min,"Comedies, Sports Movies",R,2020,Wheels of Fortune,Movie,2362856,4190723,1827867,North America,Yes
1105,1859,2020-10-31,Brazil,Juliana Vicente,1 Season,"Docuseries, International TV Shows",TV-PG,2017,Afronta! Facing It!,TV Show,4561964,1185144,-3376820,South America,No
8738,1860,2020-10-31,Norway,Harald Zwart,130 min,"Action & Adventure, Dramas, International Movies",TV-MA,2018,The 12th Man,Movie,296500,3005793,2709293,Europe,Yes
4204,1861,2020-10-31,Australia,Not Given,1 Season,"International TV Shows, Reality TV",TV-PG,2019,Zumbo's Just Desserts,TV Show,3081175,1140881,-1940294,Oceania,No
1998,1862,2020-10-30,United States,Stacia Crawford,87 min,"Dramas, Independent Movies, Thrillers",TV-14,2019,Hidden in Plain Sight,Movie,4066646,3632379,-434267,North America,No
22,1863,2020-10-30,United Kingdom,Remi Weekes,93 min,"Horror Movies, Independent Movies",TV-14,2020,His House,Movie,5761311,3588573,-2172738,Europe,No
2712,1864,2020-10-30,Nigeria,Tope Oshin,114 min,"Dramas, International Movies",TV-14,2017,In Line,Movie,3740655,3803520,62865,Africa,Yes
3088,1865,2020-10-30,India,Terrie Samundra,91 min,"Horror Movies, International Movies",TV-14,2020,Kaali Khuhi,Movie,3574362,3599634,25272,Asia,Yes
3557,1866,2020-10-30,Pakistan,Not Given,2 Seasons,"Kids' TV, Korean TV Shows",TV-Y,2020,Kongsuni and Friends,TV Show,3371763,5676746,2304983,Asia,Yes
5310,1867,2021-09-01,United Kingdom,J. Lee Thompson,156 min,"Action & Adventure, Classic Movies",TV-14,1961,The Guns of Navarone,Movie,2579599,5662766,3083167,Europe,Yes
7596,1868,2020-10-30,United States,Not Given,7 Seasons,"TV Action & Adventure, TV Sci-Fi & Fantasy",TV-14,2020,Marvel's Agents of S.H.I.E.L.D.,TV Show,1450641,2103826,653185,North America,Yes
7621,1869,2020-10-30,France,Olivier Marchal,116 min,"Dramas, International Movies, Thrillers",TV-MA,2020,Rogue City,Movie,1434966,2786251,1351285,Europe,Yes
7903,1870,2020-10-30,United States,Not Given,4 Seasons,"Docuseries, Reality TV",TV-14,2020,Somebody Feed Phil,TV Show,1252484,2106143,853659,North America,Yes
459,1871,2020-10-30,Italy,Not Given,3 Seasons,"Crime TV Shows, International TV Shows, TV Dramas",TV-MA,2020,Suburra: Blood on Rome,TV Show,5044997,1523335,-3521662,Europe,No
2285,1872,2020-10-30,Mexico,Santiago Alvarado Ilarri,93 min,"Horror Movies, International Movies",TV-MA,2020,The Day of the Lord,Movie,3931933,2749691,-1182242,North America,No
851,1873,2020-10-29,Philippines,Frasco Mortiz,106 min,"Horror Movies, International Movies",TV-14,2013,Pagpag: Nine Lives,Movie,4729852,3981863,-747989,Asia,No
231,1874,2020-10-28,United States,John Whitesell,105 min,"Comedies, Romantic Movies",TV-MA,2020,Holidate,Movie,5323964,2720083,-2603881,North America,No
2876,1875,2020-10-28,Not Given,Antonio Díaz,50 min,International Movies,TV-14,2016,La Gran Ilusión,Movie,3670450,3861644,191194,Unknown,Yes
8709,1876,2020-10-28,United States,Nimród Antal,93 min,Music & Musicals,R,2013,Metallica Through The Never,Movie,385617,4347362,3961745,North America,Yes
6747,1877,2020-10-28,Poland,Bartosz M. Kowalski,103 min,"Horror Movies, International Movies",TV-MA,2020,Nobody Sleeps in the Woods Tonight,Movie,1917895,2744621,826726,Europe,Yes
3936,1878,2021-09-01,United States,"Evan Goldberg, Seth Rogen",112 min,"Action & Adventure, Comedies",R,2014,The Interview,Movie,3199298,5658089,2458791,North America,Yes
2923,1879,2020-10-28,United States,James Tovell,114 min,Documentaries,TV-PG,2020,Secrets of the Saqqara Tomb,Movie,3649330,2467649,-1181681,North America,No
4594,1880,2020-10-27,United States,Not Given,1 Season,Anime Series,TV-MA,2020,Blood of Zeus,TV Show,2898441,1460344,-1438097,North America,No
8376,1881,2020-10-27,United States,Not Given,4 Seasons,Kids' TV,TV-Y,2020,Chico Bon Bon: Monkey with a Tool Belt,TV Show,840013,897624,57611,North America,Yes
6916,1882,2020-10-27,Argentina,Matías Gueilburt,95 min,"Documentaries, International Movies, Sports Movies",TV-14,2020,Guillermo Vilas: Settling the Score,Movie,1836280,3619808,1783528,South America,Yes
